Day,Sum,Depth,Density
16,710.3711628,I,H
16,727.743408,I,L
16,509.1971533,I,L
17,689.9939069,I,H
17,550.4277021,I,H
17,1374.10118,I,L
17,723.2042529,I,L
17,1181.764499,I,H
17,805.1544678,I,H
17,660.5380126,I,L
17,486.0524006,I,L
17,927.4132244,I,H
17,653.1105513,I,H
17,879.1205886,I,L
17,1036.165527,I,L
17,822.5373055,I,H
17,1111.449176,I,H
17,879.2294116,I,L
17,584.8669441,I,L
18,902.6605954,I,H
18,698.015421,I,H
18,1622.551677,I,L
18,976.4604087,I,L
18,1336.655187,I,H
18,940.7778845,I,H
18,769.1499651,I,L
18,549.0481924,I,L
18,1118.274543,I,H
18,782.234685,I,H
18,1133.473713,I,L
18,1293.191851,I,L
18,920.1023805,I,H
18,1489.573194,I,H
18,1127.120911,I,L
18,708.6928912,I,L
19,609.1066804,I,H
19,494.2930938,I,H
19,1084.524571,I,L
19,742.6181577,I,L
19,1259.829906,I,H
19,948.919501,I,H
19,537.4386968,I,L
19,393.4482027,I,L
19,1054.613054,I,H
19,783.7223865,I,H
19,722.2873287,I,L
19,882.1892575,I,L
19,652.4454985,I,H
19,950.3626205,I,H
19,784.9445193,I,L
19,537.7700645,I,L
20,647.1299224,I,H
20,546.7017989,I,H
20,1274.509555,I,L
20,859.6447785,I,L
20,1153.145128,I,H
20,776.7427488,I,H
20,607.5331489,I,L
20,466.8179911,I,L
20,952.836078,I,H
20,658.4471958,I,H
20,889.9005469,I,L
20,1048.899283,I,L
20,806.870801,I,H
20,1112.747936,I,H
20,801.6299565,I,L
20,564.4827841,I,L
21,839.3202602,I,H
21,697.6419944,I,H
21,2485.433741,I,L
21,1046.728448,I,L
21,1476.172489,I,H
21,1007.831754,I,H
21,802.8873708,I,L
21,558.6600636,I,L
21,1184.885211,I,H
21,837.5393856,I,H
21,1195.183024,I,L
21,1316.328854,I,L
21,987.5346382,I,H
21,1510.623978,I,H
21,1075.572098,I,L
21,702.0439583,I,L
22,660.2613545,I,H
22,560.754701,I,H
22,1939.59535,I,L
22,836.4266226,I,L
22,1067.719737,I,H
22,730.3476252,I,H
22,626.3252355,I,L
22,435.4427124,I,L
22,864.5307698,I,H
22,615.7588338,I,H
22,884.3164302,I,L
22,989.3255251,I,L
22,761.2590773,I,H
22,1137.382668,I,H
22,868.4112237,I,L
22,567.4552797,I,L
23,762.3929279,I,H
23,600.671614,I,H
23,2338.371239,I,L
23,1060.164663,I,L
23,1245.472585,I,H
23,812.769751,I,H
23,747.6302697,I,L
23,523.6332815,I,L
23,1208.302352,I,H
23,813.5122955,I,H
23,1352.321942,I,L
23,1523.228163,I,L
23,1000.378607,I,H
23,1515.968591,I,H
23,963.620164,I,L
23,627.0215355,I,L
24,918.1761339,I,H
24,708.7829885,I,H
24,2316.095738,I,L
24,993.0382404,I,L
24,1681.881448,I,H
24,1147.225728,I,H
24,955.280811,I,L
24,652.2063686,I,L
24,1324.599556,I,H
24,954.6059247,I,H
24,1213.333993,I,L
24,1298.119733,I,L
24,1016.048405,I,H
24,1712.411677,I,H
24,1145.206348,I,L
24,717.7268695,I,L
25,883.919124,I,H
25,685.0091009,I,H
25,3578.83815,I,L
25,925.9204731,I,L
25,1667.912084,I,H
25,1137.972239,I,H
25,955.0746535,I,L
25,656.5587143,I,L
25,1299.331241,I,H
25,981.4274562,I,H
25,1035.844759,I,L
25,1091.493289,I,L
25,960.543857,I,H
25,1721.590775,I,H
25,1105.275216,I,L
25,697.7806018,I,L
26,1146.593152,I,H
26,867.301217,I,H
26,4039.078197,I,L
26,946.3531595,I,L
26,1904.010323,I,H
26,1297.68791,I,H
26,1217.402307,I,L
26,776.3042864,I,L
26,1345.96991,I,H
26,1063.549944,I,H
26,1045.82736,I,L
26,1146.724834,I,L
26,1078.222162,I,H
26,2453.8634,I,H
26,1411.456965,I,L
26,850.7235032,I,L
27,1129.964651,I,H
27,854.5127825,I,H
27,2310.057365,I,L
27,948.7990323,I,L
27,1830.534256,I,H
27,1246.331528,I,H
27,986.5075691,I,L
27,669.3268584,I,L
27,1388.563288,I,H
27,1062.359419,I,H
27,1032.095896,I,L
27,1091.997277,I,L
27,887.4853283,I,H
27,1868.868076,I,H
27,1290.400473,I,L
27,776.7039489,I,L
28,1311.655789,I,H
28,1029.260238,I,H
28,2821.434818,I,L
28,885.8561164,I,L
28,2081.331393,I,H
28,1420.368398,I,H
28,1227.587951,I,L
28,777.1750227,I,L
28,1450.483923,I,H
28,1163.670331,I,H
28,1062.973602,I,L
28,1177.946979,I,L
28,918.5385355,I,H
28,2264.486971,I,H
28,1595.632356,I,L
28,890.2385901,I,L
29,1237.266856,I,H
29,1009.254745,I,H
29,2372.384313,I,L
29,911.8600596,I,L
29,2047.783328,I,H
29,1392.660888,I,H
29,1214.481737,I,L
29,728.8428714,I,L
29,1426.182324,I,H
29,1119.781683,I,H
29,1184.929522,I,L
29,1313.706954,I,L
29,940.4956011,I,H
29,2236.225485,I,H
29,1609.747891,I,L
29,866.39829,I,L
1,2498.105062,O,H
1,3635.57393,O,H
1,1314.287447,O,L
1,2036.922256,O,L
1,1620.834453,O,H
1,1229.415991,O,H
1,2487.78053,O,L
1,2061.796437,O,L
1,1485.57565,O,H
1,2307.62102,O,H
1,2671.476719,O,L
1,3574.770067,O,L
1,2583.308426,O,H
1,1597.658955,O,H
1,725.3559224,O,L
1,2322.589664,O,L
2,2798.280302,O,H
2,4288.088718,O,H
2,1517.346251,O,L
2,2355.523028,O,L
2,1777.898484,O,H
2,1355.829379,O,H
2,2812.299685,O,L
2,2315.089356,O,L
2,1669.904026,O,H
2,2684.103669,O,H
2,3124.958938,O,L
2,4125.116087,O,L
2,3013.355215,O,H
2,1969.564176,O,H
2,772.935267,O,L
2,2474.938725,O,L
3,2927.55509,O,H
3,4934.88725,O,H
3,1589.602394,O,L
3,2469.77465,O,L
3,1947.623563,O,H
3,1450.912304,O,H
3,2963.656122,O,L
3,2029.931398,O,L
3,1785.460713,O,H
3,3016.199111,O,H
3,3304.316857,O,L
3,4342.784857,O,L
3,3323.711022,O,H
3,2176.847154,O,H
3,961.7602894,O,L
3,3079.556447,O,L
4,2229.94069,O,H
4,3278.624599,O,H
4,1185.970308,O,L
4,1806.846302,O,L
4,1427.480805,O,H
4,1063.824101,O,H
4,2196.086562,O,L
4,799.3057591,O,L
4,1338.607102,O,H
4,2123.711055,O,H
4,2342.789034,O,L
4,3175.874692,O,L
4,2436.393666,O,H
4,1410.281256,O,H
4,758.6738173,O,L
4,2429.273563,O,L
5,631.925142,O,H
5,617.3098349,O,H
5,411.1806173,O,L
5,577.506092,O,L
5,358.5226889,O,H
5,228.3917785,O,H
5,592.083768,O,L
5,367.5786014,O,L
5,301.8157606,O,H
5,388.0762882,O,H
5,552.5717931,O,L
5,1003.267048,O,L
5,592.6175739,O,H
5,283.5508238,O,H
5,139.6613967,O,L
5,447.1957921,O,L
6,2364.432394,O,H
6,3269.829341,O,H
6,1351.64704,O,L
6,2085.2871,O,L
6,1548.443542,O,H
6,1183.061055,O,H
6,2430.036298,O,L
6,1217.082304,O,L
6,1478.482206,O,H
6,2217.17768,O,H
6,2792.907598,O,L
6,3722.138581,O,L
6,2272.714225,O,H
6,1481.881662,O,H
6,658.2655133,O,L
6,2107.766174,O,L
7,2380.437036,O,H
7,3137.127566,O,H
7,1345.962769,O,L
7,2081.412059,O,L
7,1630.227236,O,H
7,1209.039409,O,H
7,2297.158801,O,L
7,1685.251506,O,L
7,1485.683109,O,H
7,2110.016606,O,H
7,2500.826126,O,L
7,3367.668506,O,L
7,2322.645282,O,H
7,1404.315309,O,H
7,710.8438872,O,L
7,2276.122127,O,L
8,1804.755691,O,H
8,2616.550514,O,H
8,1042.48673,O,L
8,1597.056591,O,L
8,1304.361682,O,H
8,877.5051655,O,H
8,1914.407431,O,L
8,967.9389903,O,L
8,1051.14107,O,H
8,1433.4529,O,H
8,1828.276687,O,L
8,2551.462507,O,L
8,1747.962881,O,H
8,1009.655635,O,H
8,596.1747371,O,L
8,1908.951508,O,L
9,2520.414569,O,H
9,3832.946123,O,H
9,1533.022894,O,L
9,2370.395714,O,L
9,1687.350694,O,H
9,1264.587149,O,H
9,3045.820501,O,L
9,2431.418455,O,L
9,1416.087192,O,H
9,2236.30305,O,H
9,3320.358256,O,L
9,1557.324542,O,L
9,2677.819044,O,H
9,1754.020752,O,H
9,668.2929759,O,L
9,2139.874109,O,L
10,2999.011874,O,H
10,4616.599435,O,H
10,1733.195842,O,L
10,2577.343035,O,L
10,2015.813575,O,H
10,1465.172229,O,H
10,3056.175365,O,L
10,2447.917871,O,L
10,1771.104906,O,H
10,2845.952846,O,H
10,3418.445651,O,L
10,4041.116548,O,L
10,2949.381188,O,H
10,2051.219258,O,H
10,793.0236156,O,L
10,2806.129514,O,L
11,2861.317023,O,H
11,4159.338452,O,H
11,1611.553529,O,L
11,2372.104571,O,L
11,1876.780517,O,H
11,1347.888504,O,H
11,2874.354152,O,L
11,2389.998399,O,L
11,1650.225177,O,H
11,2594.522958,O,H
11,3260.428531,O,L
11,3795.374701,O,L
11,2480.500355,O,H
11,1859.683318,O,H
11,674.5933887,O,L
11,2587.856468,O,L
12,2345.896463,O,H
12,3247.444588,O,H
12,1455.908033,O,L
12,2098.579149,O,L
12,1571.519695,O,H
12,1120.831565,O,H
12,2507.86576,O,L
12,1965.253363,O,L
12,1386.434611,O,H
12,2107.047493,O,H
12,2646.278088,O,L
12,3116.465936,O,L
12,1882.766304,O,H
12,1520.787473,O,H
12,462.4661899,O,L
12,2124.317644,O,L
13,1952.127356,O,H
13,2315.867978,O,H
13,1302.134318,O,L
13,1675.613931,O,L
13,1152.196972,O,H
13,882.9119451,O,H
13,1925.548403,O,L
13,1593.630482,O,L
13,1056.754758,O,H
13,1645.810256,O,H
13,2245.067412,O,L
13,2409.943373,O,L
13,1470.406012,O,H
13,1086.622459,O,H
13,494.1736066,O,L
13,1600.039101,O,L
14,2596.979486,O,H
14,3641.234637,O,H
14,1512.805195,O,L
14,2217.019328,O,L
14,1623.12543,O,H
14,1196.680889,O,H
14,2685.879252,O,L
14,1975.934447,O,L
14,1470.029514,O,H
14,2183.918842,O,H
14,2829.6468,O,L
14,3409.335859,O,L
14,2045.83725,O,H
14,1599.075027,O,H
14,524.138219,O,L
14,2367.643168,O,L
15,1968.40795,O,H
15,2387.692413,O,H
15,1178.553675,O,L
15,1638.476531,O,L
15,1365.803354,O,H
15,993.7128748,O,H
15,2033.706909,O,L
15,1624.445097,O,L
15,1094.517811,O,H
15,1666.164305,O,H
15,2136.830036,O,L
15,2304.023354,O,L
15,1421.745151,O,H
15,1087.739746,O,H
15,395.8744764,O,L
15,1657.050157,O,L
16,1599.83844,O,H
16,1776.681834,O,H
16,829.0829454,O,L
16,1243.588667,O,L
16,883.7067969,O,H
16,639.5220851,O,H
16,1530.362028,O,L
16,1342.888104,O,L
16,677.8447213,O,H
16,976.4629563,O,H
16,1641.341926,O,L
16,1677.133222,O,L
16,1079.107199,O,H
16,683.1251781,O,H
16,357.6754713,O,L
16,1373.840401,O,L
17,1834.881377,O,H
17,2280.67689,O,H
17,979.0998587,O,L
17,1609.614484,O,L
17,1147.941319,O,H
17,893.923282,O,H
17,1636.246299,O,L
17,1296.683399,O,L
17,1010.702868,O,H
17,1593.06087,O,H
17,1967.267564,O,L
17,2350.349376,O,L
17,1934.000426,O,H
17,1040.328574,O,H
17,436.3040569,O,L
17,1632.239424,O,L
18,2219.505334,O,H
18,3105.413742,O,H
18,1497.713208,O,L
18,1994.020309,O,L
18,1350.893439,O,H
18,1026.101843,O,H
18,1968.220975,O,L
18,1470.093407,O,L
18,1276.835185,O,H
18,1618.477352,O,H
18,2286.870954,O,L
18,2893.408075,O,L
18,2233.353277,O,H
18,1387.679057,O,H
18,564.9717718,O,L
18,2055.08325,O,L
19,1688.590647,O,H
19,1966.990355,O,H
19,1105.589913,O,L
19,1429.229957,O,L
19,1292.277284,O,H
19,1049.592788,O,H
19,1465.169432,O,L
19,961.5390849,O,L
19,1150.063539,O,H
19,1416.294715,O,H
19,1227.533568,O,L
19,1878.56864,O,L
19,1354.444226,O,H
19,901.2099648,O,H
19,387.3656233,O,L
19,1471.411866,O,L
20,1994.859956,O,H
20,2073.790598,O,H
20,1162.415858,O,L
20,1694.240431,O,L
20,1245.978634,O,H
20,896.7940415,O,H
20,1654.21077,O,L
20,1125.263322,O,L
20,1050.452609,O,H
20,1355.457931,O,H
20,1383.152754,O,L
20,2173.424763,O,L
20,1725.821339,O,H
20,1083.054501,O,H
20,360.7732635,O,L
20,1538.388299,O,L
21,2685.73848,O,H
21,2770.380502,O,H
21,1526.962814,O,L
21,2249.791086,O,L
21,1496.964523,O,H
21,1120.237653,O,H
21,2125.498065,O,L
21,1523.308369,O,L
21,1347.075057,O,H
21,1826.869061,O,H
21,1853.395293,O,L
21,3020.913421,O,L
21,2151.32968,O,H
21,1411.963791,O,H
21,557.3056353,O,L
21,2096.606012,O,L
22,2050.810908,O,H
22,2105.236812,O,H
22,1172.751901,O,L
22,1762.218046,O,L
22,1183.97351,O,H
22,809.5709773,O,H
22,1625.70181,O,L
22,1113.72873,O,L
22,1004.256655,O,H
22,1334.810711,O,H
22,1384.825369,O,L
22,2294.793814,O,L
22,1596.738873,O,H
22,1080.873714,O,H
22,428.8355596,O,L
22,1704.597802,O,L
23,1965.820539,O,H
23,2561.445548,O,H
23,1433.360652,O,L
23,2095.451277,O,L
23,1503.116634,O,H
23,1005.419214,O,H
23,2037.547571,O,L
23,789.2168731,O,L
23,1346.396564,O,H
23,1816.677402,O,H
23,2049.982565,O,L
23,3250.034365,O,L
23,2126.865623,O,H
23,1494.623803,O,H
23,480.1069517,O,L
23,1776.189938,O,L
24,2247.566371,O,H
24,3165.584126,O,H
24,1561.838226,O,L
24,2482.55794,O,L
24,1821.650379,O,H
24,1271.399554,O,H
24,2295.628548,O,L
24,907.3590564,O,L
24,1571.800684,O,H
24,2159.107469,O,H
24,2061.568107,O,L
24,3383.720952,O,L
24,2328.589352,O,H
24,1625.205622,O,H
24,574.3589913,O,L
24,2085.932697,O,L
25,2185.609951,O,H
25,3032.732955,O,H
25,1480.635666,O,L
25,2303.15442,O,L
25,1901.198938,O,H
25,1297.186435,O,H
25,2305.891517,O,L
25,1365.724398,O,L
25,1517.013504,O,H
25,2162.881024,O,H
25,1889.42287,O,L
25,3056.552626,O,L
25,2081.260836,O,H
25,1614.586668,O,H
25,553.6327966,O,L
25,2017.819702,O,L
26,2660.676004,O,H
26,4051.401901,O,H
26,1726.82273,O,L
26,2926.678506,O,L
26,2123.175039,O,H
26,1416.42868,O,H
26,2560.337086,O,L
26,1832.70767,O,L
26,1683.784332,O,H
26,2583.942096,O,H
26,2171.266063,O,L
26,3492.256935,O,L
26,2700.387766,O,H
26,2176.714573,O,H
26,712.5559794,O,L
26,2540.092804,O,L
27,2219.661118,O,H
27,3711.496417,O,H
27,1536.290639,O,L
27,2535.639464,O,L
27,2012.363099,O,H
27,1425.870908,O,H
27,2385.745105,O,L
27,1736.855526,O,L
27,1600.74072,O,H
27,2329.94332,O,H
27,1929.221677,O,L
27,3025.186005,O,L
27,2133.801401,O,H
27,1722.367906,O,H
27,696.4227767,O,L
27,2249.073433,O,L
28,2455.066653,O,H
28,4713.631669,O,H
28,1615.45021,O,L
28,2913.730966,O,L
28,2253.899175,O,H
28,1528.178,O,H
28,2683.419424,O,L
28,2162.663384,O,L
28,1850.607731,O,H
28,2725.003938,O,H
28,2124.444248,O,L
28,3509.130447,O,L
28,2439.093849,O,H
28,1986.214623,O,H
28,845.7199647,O,L
28,2759.876,O,L
29,2498.307108,O,H
29,4525.574905,O,H
29,1606.091021,O,L
29,2875.581199,O,L
29,2158.304853,O,H
29,1480.852152,O,H
29,2648.126275,O,L
29,2058.446415,O,L
29,1796.156624,O,H
29,2665.924274,O,H
29,2171.712161,O,L
29,3726.456958,O,L
29,2413.571434,O,H
29,1938.151786,O,H
29,824.4430315,O,L
29,2870.126624,O,L
