Day,Ratio,Density
8,1.239398134,L
8,0.467699775,L
8,0.34029962,L
8,0.295479924,L
8,0.344199747,L
8,0.471003854,L
8,2.034647233,L
8,0.370637778,L
9,1.40343313,L
9,0.449302774,L
9,0.403691066,L
9,0.374842773,L
9,0.44687393,L
9,0.440855958,L
9,2.01517588,L
9,0.358321785,L
9,1.08335272,L
9,0.489694315,L
9,0.390784355,L
9,0.37347844,L
9,0.495643933,L
9,0.446944163,L
9,1.99500394,L
9,0.344848751,L
10,0.980946514,L
10,0.519593193,L
10,0.36680993,L
10,0.409185866,L
10,0.588405358,L
10,0.469607146,L
10,2.026365976,L
10,0.36547895,L
10,1.096431665,L
10,0.507392435,L
10,0.367264656,L
10,0.414852223,L
10,0.643385587,L
10,0.482602067,L
10,2.221977174,L
10,0.366931278,L
11,1.627697622,L
11,0.465255843,L
11,0.377740815,L
11,0.366741282,L
11,0.644861368,L
11,0.435738689,L
11,1.929950156,L
11,0.334847823,L
11,1.653883782,L
11,0.474644227,L
11,0.385264525,L
11,0.390977355,L
11,0.638576134,L
11,0.431117392,L
11,2.025044809,L
11,0.332896874,L
12,1.631390701,L
12,0.505936203,L
12,0.366926535,L
12,0.663484651,L
12,0.65967485,L
12,0.468680633,L
12,2.007094795,L
12,0.353014912,L
12,1.482929345,L
12,0.400006068,L
12,0.416130393,L
12,0.71879634,L
12,0.58854907,L
12,0.383636757,L
12,1.993885994,L
12,0.344079591,L
13,2.417095733,L
13,0.40202275,L
13,0.414188892,L
13,0.480740269,L
13,0.548233418,L
13,0.357099459,L
13,1.996404879,L
13,0.345809193,L
13,2.339023066,L
13,0.323353986,L
13,0.475485167,L
13,0.423583258,L
13,0.481667069,L
13,0.328362104,L
13,1.980836602,L
13,0.334918276,L
14,1.503659077,L
14,0.374185307,L
14,0.413500825,L
14,0.385367032,L
14,0.534980458,L
14,0.36096864,L
14,1.852898147,L
14,0.34534397,L
14,1.746531587,L
14,0.304028109,L
14,0.457471515,L
14,0.359360143,L
14,0.500353729,L
14,0.33568059,L
14,1.886714779,L
14,0.322564706,L
15,1.477116976,L
15,0.317104612,L
15,0.458619269,L
15,0.35407425,L
15,0.545619969,L
15,0.352535121,L
15,1.952527742,L
15,0.301867619,L
15,0.435423848,H
15,0.203587964,H
15,0.968330165,H
15,0.874100065,H
15,0.818699649,H
15,0.399614488,H
15,0.336271883,H
15,1.12548262,H
16,0.440899094,H
16,0.205302453,H
16,0.946454126,H
16,0.84606206,H
16,0.822348603,H
16,0.391916452,H
16,0.30322562,H
16,1.059186286,H
16,0.462191518,H
16,0.205283803,H
16,0.935233277,H
16,0.863572742,H
16,0.815114686,H
16,0.367754401,H
16,0.295386573,H
16,1.075106907,H
17,0.434139062,H
17,0.211005714,H
17,0.959585378,H
17,0.861558292,H
17,0.823270889,H
17,0.384121827,H
17,0.336629382,H
17,1.127448571,H
17,0.364345238,H
17,0.258748911,H
17,0.825203715,H
17,0.813635343,H
17,0.957213206,H
17,0.469698952,H
17,0.467867215,H
17,1.024270931,H
18,0.424951185,H
18,0.228355865,H
18,1.014762166,H
18,0.870995033,H
18,0.885159987,H
18,0.416354233,H
18,0.419116521,H
18,1.050133979,H
18,0.406220662,H
18,0.228613502,H
18,0.954440368,H
18,0.847584051,H
18,0.895529609,H
18,0.443898436,H
18,0.440373836,H
18,1.099168171,H
19,0.421904024,H
19,0.227440106,H
19,0.837482087,H
19,0.813883365,H
19,0.903484443,H
19,0.455497815,H
19,0.413481859,H
19,1.144165628,H
19,0.383390479,H
19,0.19275685,H
19,0.958236481,H
19,0.843055075,H
19,0.833748308,H
19,0.385628602,H
19,0.390503334,H
19,1.105654072,H
20,0.420717232,H
20,0.205490041,H
20,0.958844489,H
20,0.911657536,H
20,0.811192515,H
20,0.387721997,H
20,0.341165985,H
20,1.06817756,H
20,0.403955039,H
20,0.212622409,H
20,0.935515715,H
20,0.906102607,H
20,0.838777776,H
20,0.400256752,H
20,0.40856365,H
20,1.030857781,H
21,0.401926988,H
21,0.236439503,H
21,0.914881681,H
21,0.902941677,H
21,0.855936399,H
21,0.414608018,H
21,0.473980098,H
21,0.999737977,H
21,0.35412131,H
21,0.235032252,H
21,0.959787985,H
21,0.840862948,H
21,0.890074058,H
21,0.406411189,H
21,0.489586068,H
21,1.024021347,H
22,0.389029183,H
22,0.221379736,H
22,0.993523434,H
22,0.914760888,H
22,0.84483558,H
22,0.410799124,H
22,0.431485758,H
22,1.081274855,H
22,0.354983857,H
22,0.234862492,H
22,0.938021859,H
22,0.908453202,H
22,0.912587736,H
22,0.447556999,H
22,0.516780347,H
22,1.030653727,H
23,0.350056419,H
23,0.259043083,H
23,0.976913784,H
23,0.871300452,H
23,0.989729103,H
23,0.491192815,H
23,0.598799628,H
23,1.039884322,H
23,0.376042787,H
23,0.241344008,H
23,1.029464207,H
23,0.900697503,H
23,0.917592355,H
23,0.409972126,H
23,0.42530358,H
23,1.068363596,H
24,0.406694492,H
24,0.224773727,H
24,0.989460122,H
24,0.916846501,H
24,0.875817455,H
24,0.483315188,H
24,0.411982462,H
24,1.07342774,H
24,0.360718971,H
24,0.251294112,H
24,0.97489132,H
24,0.904083481,H
24,0.917004164,H
24,0.55336109,H
24,0.481707172,H
24,1.054540737,H
25,0.324398673,H
25,0.263624398,H
25,0.925493501,H
25,0.866132816,H
25,0.907071932,H
25,0.485774719,H
25,0.467528581,H
25,1.027416382,H
25,0.312510048,H
25,0.251821724,H
25,0.986110536,H
25,0.899658882,H
25,0.879598509,H
25,0.458456166,H
25,0.459034544,H
25,1.069874445,H
26,0.321951357,H
26,0.266361816,H
26,0.901810495,H
26,0.902141561,H
26,0.860866359,H
26,0.461307981,H
26,0.476758655,H
26,1.052280811,H
26,0.387824276,H
26,0.234504932,H
26,0.828593442,H
26,0.808388919,H
26,0.897434221,H
26,0.447802287,H
26,0.470353461,H
26,1.014281044,H
27,0.408520142,H
27,0.223902749,H
27,0.923273459,H
27,0.902332964,H
27,0.842727433,H
27,0.442129879,H
27,0.436336447,H
27,1.053658475,H
27,0.404426748,H
27,0.225871882,H
27,0.877294874,H
27,0.877261902,H
27,0.856506048,H
27,0.453759335,H
27,0.461520171,H
27,1.066273374,H
28,0.430940539,H
28,0.214074347,H
28,0.896775013,H
28,0.916168903,H
28,0.799371918,H
28,0.411599759,H
28,0.399284197,H
28,1.127324377,H
28,0.509070795,H
28,0.230234031,H
28,0.909644118,H
28,0.874084408,H
28,0.867450469,H
28,0.45595934,H
28,0.415917493,H
28,1.08505742,H
29,0.534264839,H
29,0.218358224,H
29,0.923435891,H
29,0.929452196,H
29,0.783787887,H
29,0.427034367,H
29,0.376590075,H
29,1.140101853,H
29,0.495242099,H
29,0.223011389,H
29,0.94879244,H
29,0.940445598,H
29,0.79401891,H
29,0.420035068,H
29,0.389669677,H
29,1.153792753,H
